Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Country
1972,PhD,Single,"38,578",1,1,38,4,22,3,3,3,3,0,3,SP
1975,PhD,Married,"79,174",0,0,1074,37,518,193,92,1,5,6,7,CA
1962,Master,Divorced,"81,975",0,1,983,76,184,180,138,1,6,3,4,SA
1977,Master,Married,"43,263",0,1,262,6,61,0,10,3,5,2,6,SP
1970,Bachelor,Single,"27,242",1,0,3,17,26,20,1,2,2,0,3,IND
1971,Bachelor,Married,"76,445",1,0,739,107,309,140,80,1,2,5,13,SA
1965,Bachelor,Together,"75,276",0,0,610,105,125,137,42,1,9,4,9,SP
1963,Bachelor,Widow,"34,213",1,1,50,4,28,6,3,3,3,1,2,SA
1976,PhD,Together,"72,335",0,0,1285,105,653,28,21,1,10,4,8,SP
1964,Master,Married,"79,143",0,0,650,37,780,27,167,1,6,9,13,AUS
1947,Bachelor,Married,"27,469",0,0,9,1,2,3,2,1,0,0,3,CA
1969,Bachelor,Together,"68,695",0,0,458,81,356,106,50,1,4,4,7,SP
1969,Bachelor,Together,"68,695",0,0,458,81,356,106,50,1,4,4,7,CA
1957,Bachelor,Single,"50,388",0,1,292,6,37,0,3,4,6,1,6,GER
1970,PhD,Together,"77,622",0,2,520,7,154,19,0,2,6,3,11,SA
1962,Bachelor,Divorced,"46,102",2,1,14,0,1,0,0,1,1,0,2,SP
1980,Master,Single,"31,859",1,0,3,4,7,15,8,1,1,0,3,SP
1987,Master,Single,"23,830",0,0,1,8,6,4,8,1,1,0,3,SP
1973,Bachelor,Married,"24,639",1,1,20,3,16,0,4,3,2,0,4,AUS
1945,PhD,Together,"71,604",0,0,345,53,528,98,75,1,8,3,5,SP
1984,Bachelor,Married,"27,255",1,0,22,1,11,0,1,1,1,0,3,SP
1977,Bachelor,Together,"55,375",0,1,42,11,57,10,28,1,1,1,6,CA
1960,PhD,Married,"77,037",0,1,463,96,333,168,53,1,7,7,12,SP
1970,Bachelor,Single,"24,163",1,1,4,1,7,2,1,2,1,0,3,SP
1969,PhD,Together,"69,476",0,0,260,86,559,63,9,1,4,6,4,US
1979,Bachelor,Married,"72,063",0,1,180,32,348,76,32,2,5,2,12,GER
1962,Master,Married,"58,646",0,1,62,1,44,6,5,1,2,1,4,SP
1962,Master,Married,"58,646",0,1,62,1,44,6,5,1,2,1,4,GER
1949,Master,Widow,"47,570",1,1,67,1,20,0,2,3,2,2,2,US
1980,Bachelor,Married,"80,011",0,1,421,76,536,82,178,2,8,6,5,AUS
1956,PhD,Single,"54,998",0,1,154,22,202,39,30,5,4,2,9,SP
1948,PhD,Single,"60,200",0,1,502,19,132,0,6,6,6,2,11,SP
1982,Bachelor,Married,"63,211",0,0,145,193,459,205,26,2,3,8,7,SP
1973,PhD,Single,"48,432",0,1,322,3,50,4,3,5,7,1,6,SA
1949,Master,Married,"62,845",1,1,1099,0,45,0,0,11,3,4,10,SP
1949,Master,Married,"62,845",1,1,1099,0,45,0,0,11,3,4,10,SP
1965,PhD,Together,"65,220",0,0,890,63,292,0,25,4,8,4,7,GER
1990,PhD,Married,"74,214",0,0,863,83,547,86,99,1,8,2,5,SP
1980,Master,Married,"96,547",0,0,448,21,125,52,101,0,7,6,8,SP
1955,Bachelor,Together,"53,863",0,1,399,4,30,6,4,3,7,1,7,SP
1970,Bachelor,Married,"50,447",2,0,85,7,24,2,3,1,3,1,3,IND
1953,Bachelor,Married,"37,716",0,1,97,1,41,6,2,2,4,1,3,AUS
1982,Bachelor,Together,"45,203",2,0,35,3,67,10,8,1,3,1,3,SA
1975,Master,Married,"37,368",1,0,3,2,11,2,2,1,1,0,2,SP
1955,Bachelor,Married,"67,225",0,1,315,35,322,46,7,3,7,2,11,US
1976,Master,Together,"65,104",0,1,738,0,232,13,20,2,3,5,7,CA
1976,Master,Together,"65,104",0,1,738,0,232,13,20,2,3,5,7,SP
1949,Master,Married,"81,698",0,0,179,28,520,111,123,1,3,8,13,SP
1968,Bachelor,Single,"70,566",0,1,381,28,215,84,28,2,6,5,9,SP
1958,Bachelor,Together,"69,096",0,1,247,49,159,7,82,1,5,2,10,GER
1962,Bachelor,Married,"71,434",0,1,711,36,217,172,96,3,7,4,7,SP
1978,Bachelor,Married,"33,039",1,0,30,8,12,8,8,1,2,0,4,SP
1978,Bachelor,Married,"33,039",1,0,30,8,12,8,8,1,2,0,4,CA
1958,Bachelor,Together,"46,610",0,0,288,10,30,4,10,1,6,1,6,SP
1958,Bachelor,Single,"49,967",0,1,212,6,69,4,12,3,6,1,5,CA
1976,Bachelor,Married,"53,359",1,1,173,4,30,3,6,4,5,1,4,US
1971,Master,Married,"49,505",1,1,604,0,100,19,0,9,10,2,8,SP
1946,Master,Married,"68,657",0,0,482,34,471,119,68,1,3,5,9,AUS
1954,Bachelor,Divorced,"72,071",0,1,531,69,300,150,138,3,5,4,8,SP
1954,Bachelor,Divorced,"72,071",0,1,531,69,300,150,138,3,5,4,8,CA
1967,Master,Single,"59,235",1,0,448,40,469,80,0,3,11,2,12,IND
1957,Bachelor,Together,"21,994",0,1,9,0,6,3,1,1,0,0,3,AUS
1957,Bachelor,Together,"21,994",0,1,9,0,6,3,1,1,0,0,3,SP
1957,PhD,Married,,2,1,230,42,192,49,37,12,7,2,8,GER
1972,Bachelor,Married,"69,209",0,0,496,32,849,229,48,2,5,3,6,CA
1989,Bachelor,Together,"31,928",1,0,33,4,24,4,2,2,3,0,4,IND
1987,PhD,Single,"74,004",0,0,784,48,560,42,176,1,4,6,4,IND
1987,Master,Married,"30,390",0,0,10,12,12,25,1,1,2,0,3,IND
1985,Bachelor,Married,"21,355",1,0,5,13,14,0,5,2,2,1,2,US
1969,Bachelor,Married,"26,304",1,0,4,1,5,2,0,1,1,0,2,GER
1989,Master,Married,"85,710",0,0,600,20,350,29,30,1,6,9,10,IND
1974,Bachelor,Divorced,"102,692",0,0,168,148,444,32,172,1,6,9,13,SA
1971,Bachelor,Single,"58,350",0,1,493,26,206,116,80,4,8,3,12,SP
1978,Bachelor,Single,"7,500",1,1,6,5,4,13,4,4,2,1,3,SP
1984,Master,Single,"18,890",0,0,6,4,1,7,2,1,0,1,2,SA
1986,High School,Married,"20,425",1,0,4,12,5,3,16,2,2,0,3,CA
1986,High School,Married,"20,425",1,0,4,12,5,3,16,2,2,0,3,GER
1957,PhD,Divorced,"41,437",1,1,29,0,2,0,0,1,1,0,3,SP
1949,Master,Together,"49,912",0,1,520,8,223,32,49,4,10,5,7,AUS
1959,Bachelor,Married,"79,823",0,1,835,73,380,114,73,1,6,9,7,AUS
1954,Bachelor,Divorced,"85,683",0,0,1296,17,311,45,69,1,2,4,10,SP
1965,PhD,Divorced,"47,025",1,1,16,0,3,0,0,1,1,0,2,SP
1976,PhD,Married,"68,397",0,1,760,80,466,17,13,1,6,9,5,SA
1984,PhD,Married,"38,175",1,0,70,6,69,2,3,3,3,1,4,SP
1972,Master,Single,"46,423",1,1,68,0,16,0,0,3,2,0,4,SP
1972,Master,Single,"46,423",1,1,68,0,16,0,0,3,2,0,4,SP
1976,Master,Together,"30,560",1,0,9,1,5,4,5,1,1,0,3,SA
1976,Master,Together,"30,560",1,0,9,1,5,4,5,1,1,0,3,CA
1979,Bachelor,Single,"60,152",0,1,325,83,300,86,58,1,6,4,12,SP
1965,Bachelor,Together,"29,672",1,1,9,1,3,0,4,1,0,0,3,SA
1965,Bachelor,Together,"29,672",1,1,9,1,3,0,4,1,0,0,3,SP
1947,Bachelor,Together,"70,321",0,0,303,23,751,82,26,1,6,5,13,SP
1962,Bachelor,Married,"56,181",0,1,121,103,69,8,44,1,4,2,7,SP
1990,High School,Married,"24,279",0,0,16,36,21,20,62,1,4,1,3,SP
1969,PhD,Married,"68,462",0,0,561,64,785,84,128,1,3,3,8,SP
1976,PhD,Married,"55,424",0,1,462,61,184,10,53,4,7,5,9,SP
1973,Bachelor,Married,"49,094",0,1,376,0,38,11,8,5,6,3,6,SP
1961,Master,Widow,"59,184",0,1,341,142,113,259,151,3,6,6,12,SP
1987,Bachelor,Together,"67,430",0,0,595,97,291,127,133,1,11,5,12,GER
1960,Master,Married,"30,522",0,1,179,8,83,19,11,5,1,2,9,SP
1977,Master,Single,"31,878",0,1,23,4,5,10,5,1,1,0,4,SP
1992,Bachelor,Single,"83,528",0,0,530,117,678,134,44,1,4,10,8,SP
1979,Bachelor,Together,"90,300",0,0,594,134,786,33,134,0,5,6,8,SP
1978,Master,Single,"68,092",0,0,852,60,207,78,36,2,2,6,10,SA
1972,Master,Married,"53,761",1,1,158,0,76,13,7,6,4,4,3,AUS
1973,Bachelor,Married,"52,845",1,0,384,25,292,130,41,3,8,8,6,SP
1976,Bachelor,Married,"24,027",1,0,14,7,11,11,0,2,2,0,3,SP
1979,Master,Together,"7,500",1,0,2,8,11,3,8,4,3,2,2,IND
1955,Bachelor,Together,"42,586",1,1,194,2,56,0,0,5,4,1,6,SP
1955,Bachelor,Together,"42,586",1,1,194,2,56,0,0,5,4,1,6,SP
1973,High School,Together,"9,722",1,0,6,17,16,6,16,4,3,1,3,SP
1975,PhD,Married,"86,836",0,0,179,21,273,0,21,1,6,10,6,SP
1972,Bachelor,Married,"30,467",1,0,1,3,8,2,5,1,1,0,2,CA
1952,PhD,Married,"54,549",0,1,216,2,6,0,0,2,5,1,4,SA
1982,Bachelor,Together,"19,444",1,0,16,0,23,3,2,3,4,1,2,SA
1956,Master,Together,"69,245",0,1,428,30,214,80,30,2,6,5,10,SA
1963,PhD,Divorced,"72,968",0,0,1092,37,592,145,37,1,5,5,8,SP
1953,Bachelor,Married,"48,686",1,2,10,0,7,2,0,1,1,0,2,SP
1990,Bachelor,Married,"73,687",0,0,559,153,503,218,13,1,3,9,9,SA
1944,PhD,Single,"82,716",0,0,606,148,228,15,148,1,6,8,13,CA
1981,Master,Married,"35,523",1,0,11,5,22,12,5,2,3,0,3,GER
1975,PhD,Divorced,"60,554",1,0,588,7,76,110,15,2,8,4,9,SA
1956,Bachelor,Together,"64,090",0,1,316,58,161,76,51,1,6,9,4,SA
1965,Bachelor,Single,"61,559",0,1,279,83,88,32,14,1,4,2,10,SP
1962,PhD,Widow,"71,670",0,0,1462,16,128,0,0,1,5,3,6,SP
1951,PhD,Widow,"67,680",0,1,546,0,48,0,6,1,7,3,8,AUS
1981,Bachelor,Married,"54,386",0,1,277,21,64,62,21,2,3,2,10,SP
1953,PhD,Single,"64,108",0,1,948,10,86,13,21,4,6,9,11,AUS
1951,PhD,Together,"69,702",0,1,664,9,240,50,19,2,7,7,10,SP
1952,Bachelor,Single,"47,958",0,1,268,11,88,15,3,2,6,3,5,SA
1960,Bachelor,Married,"67,716",0,1,530,142,217,62,9,4,7,4,13,CA
1971,Bachelor,Together,"34,600",1,1,199,33,60,8,3,5,5,2,5,SP
1971,Bachelor,Together,"34,600",1,1,199,33,60,8,3,5,5,2,5,SP
1969,Bachelor,Married,"48,752",1,1,73,57,100,71,15,5,6,1,5,SP
1988,Master,Married,"15,716",1,0,16,5,30,8,7,3,3,0,4,SA
1952,PhD,Divorced,"46,610",0,2,96,12,96,33,22,6,4,1,6,AUS
1977,Bachelor,Married,"74,985",0,0,587,51,898,247,0,1,3,6,7,GER
1945,PhD,Single,"45,576",0,0,56,19,29,2,14,1,3,1,3,SP
1945,PhD,Single,"113,734",0,0,6,2,3,1,262,0,27,0,0,SP
1987,Bachelor,Single,"57,100",1,0,158,11,99,15,11,2,3,2,7,SA
1972,Bachelor,Married,"24,434",2,0,3,2,8,20,0,2,2,1,2,IND
1971,PhD,Married,"37,126",1,0,45,3,9,4,4,1,1,2,2,SP
1958,Bachelor,Single,"45,160",1,1,8,2,5,3,0,1,1,0,2,AUS
1977,Bachelor,Together,"33,178",1,0,12,6,2,11,2,1,1,0,3,SP
1950,Master,Widow,"64,866",0,1,508,5,21,7,5,4,7,3,7,CA
1975,Master,Together,"34,176",0,1,11,2,7,4,2,1,1,0,3,CA
1968,Master,Single,"50,014",1,0,234,14,77,19,10,2,4,1,8,SP
1948,Bachelor,Married,"92,344",0,0,992,24,694,51,19,0,5,10,5,AUS
1970,Master,Divorced,"55,282",1,0,125,6,73,8,4,1,3,1,6,SP
1963,PhD,Divorced,"48,799",0,1,174,18,81,28,6,3,3,2,7,SP
1982,PhD,Married,"84,169",0,0,1478,19,403,0,19,1,7,6,6,SP
1982,PhD,Married,"84,169",0,0,1478,19,403,0,19,1,7,6,6,SA
1971,Master,Single,"39,763",1,0,80,1,60,4,6,2,5,1,2,SP
1975,PhD,Divorced,"74,165",0,0,1001,12,240,16,12,1,5,4,10,CA
1965,Bachelor,Single,"42,720",1,1,392,5,91,28,26,8,7,3,7,GER
1944,Bachelor,Married,"65,275",0,0,388,14,218,91,14,1,4,3,13,SP
1961,Bachelor,Married,"36,443",1,1,65,0,46,4,3,4,3,1,3,SP
1952,Master,Together,"43,776",1,1,177,2,71,3,2,6,5,2,4,SA
1965,Bachelor,Together,"56,046",0,0,577,0,64,0,0,2,10,1,8,GER
1958,Bachelor,Married,"65,148",0,1,460,35,422,33,12,2,6,6,7,CA
1955,Bachelor,Divorced,"49,431",0,1,219,3,100,26,0,2,7,1,5,SP
1961,PhD,Together,"32,583",1,1,5,0,3,0,0,1,1,0,2,SP
1979,Master,Single,"16,653",1,0,5,7,31,15,4,3,2,1,3,SP
1971,Master,Together,"26,850",1,1,31,1,13,7,2,4,2,1,4,SP
1968,Bachelor,Married,"51,287",1,1,117,0,22,13,0,3,4,1,3,SP
1973,Master,Married,"43,050",1,0,30,5,24,6,3,2,2,0,4,SP
1969,Bachelor,Married,"73,448",0,0,236,106,189,23,41,1,7,2,9,CA
1992,High School,Married,"17,256",1,0,6,4,14,8,8,2,2,1,2,US
1961,Bachelor,Single,"86,429",0,0,464,28,873,29,18,0,7,4,7,SA
1983,PhD,Married,"33,569",1,0,16,2,18,3,0,1,1,1,2,SP
1980,Master,Together,"25,130",1,0,2,5,7,0,18,2,2,0,3,CA
1952,Bachelor,Married,"62,998",0,1,120,58,73,65,89,5,5,4,5,CA
1976,Master,Together,"26,907",1,1,9,1,7,0,3,2,1,0,3,SP
1976,Master,Together,"26,907",1,1,9,1,7,0,3,2,1,0,3,AUS
1948,PhD,Married,"45,579",0,1,145,1,33,2,1,1,4,1,4,SP
1957,Bachelor,Together,"47,320",0,1,200,19,111,50,15,6,5,1,8,CA
1976,PhD,Divorced,"70,179",0,1,532,88,168,69,44,3,7,3,13,SA
1976,PhD,Divorced,"70,179",0,1,532,88,168,69,44,3,7,3,13,US
1986,Master,Married,"28,072",1,0,30,0,10,2,0,1,1,0,3,CA
1954,Bachelor,Married,"50,501",1,1,297,0,38,13,0,7,5,4,4,IND
1969,Bachelor,Together,"58,917",1,2,151,7,89,0,7,5,4,1,6,SA
1949,Bachelor,Together,"69,372",0,0,997,26,269,34,13,1,10,4,6,CA
1971,Master,Married,"35,178",1,0,23,1,13,2,2,1,1,1,2,SP
1971,Master,Married,"35,178",1,0,23,1,13,2,2,1,1,1,2,AUS
1968,Bachelor,Divorced,"75,693",0,0,797,153,293,72,97,1,11,4,6,SP
1982,Bachelor,Married,"69,109",0,0,823,25,459,124,29,1,6,6,7,US
1982,Bachelor,Married,"69,109",0,0,823,25,459,124,29,1,6,6,7,SP
1994,Bachelor,Together,"80,134",0,0,966,26,282,52,26,1,2,7,11,SP
1970,Bachelor,Divorced,"64,713",1,0,180,60,241,13,54,2,5,5,7,AUS
1986,Bachelor,Divorced,"41,411",0,0,37,32,38,11,3,1,2,1,4,SP
1983,Bachelor,Married,,1,0,5,5,6,0,2,1,1,0,2,US
1955,PhD,Single,"55,521",1,2,416,0,26,0,0,9,6,3,6,SP
1968,Master,Together,"43,795",0,1,314,11,53,4,3,3,7,3,4,SP
1970,Bachelor,Together,"22,070",1,0,10,7,19,8,2,2,2,2,2,SA
1949,Master,Married,"36,408",1,1,9,1,4,3,2,1,1,0,2,GER
1950,Bachelor,Together,"34,026",1,1,18,6,15,12,8,3,2,1,3,CA
1950,Bachelor,Together,"34,026",1,1,18,6,15,12,8,3,2,1,3,SP
1976,Bachelor,Married,"46,049",1,1,342,9,112,19,14,10,5,2,9,SP
1972,Master,Married,"35,641",1,0,63,3,67,8,9,2,3,1,4,SA
1984,Master,Together,"32,414",0,0,20,6,5,0,9,1,1,0,3,SA
1955,PhD,Married,"59,821",0,1,629,0,70,0,0,6,11,2,7,SA
1980,Bachelor,Married,"34,968",1,0,158,6,45,8,2,7,3,2,5,SA
1967,PhD,Married,"56,320",0,1,201,53,172,116,77,3,5,4,9,SP
1969,Master,Married,"70,091",1,0,964,34,137,15,0,2,5,2,10,SP
1956,Bachelor,Together,"46,097",0,1,72,24,68,65,4,5,3,1,6,SA
1963,PhD,Divorced,"41,003",0,0,123,133,142,71,44,1,6,2,8,SA
1959,Bachelor,Together,"44,911",0,1,159,0,22,2,1,3,4,1,4,SP
1975,Bachelor,Single,"33,249",1,0,6,10,21,19,14,2,2,1,3,AUS
1975,Bachelor,Single,"33,249",1,0,6,10,21,19,14,2,2,1,3,SP
1950,PhD,Divorced,"42,873",1,1,209,0,40,3,2,4,6,1,4,CA
1969,PhD,Married,"51,039",1,1,100,64,79,65,0,2,6,2,4,AUS
1958,PhD,Together,"78,952",0,1,1170,19,594,99,76,2,2,5,12,SP
1966,Master,Divorced,"29,435",1,1,70,3,37,4,2,4,3,2,2,CA
1954,Bachelor,Divorced,"79,865",0,1,71,99,278,185,121,1,5,10,5,SA
1988,Bachelor,Single,"34,176",1,0,5,7,24,19,14,4,3,0,4,CA
1988,Bachelor,Single,"34,176",1,0,5,7,24,19,14,4,3,0,4,IND
1970,PhD,Together,"65,968",0,1,376,9,83,19,4,2,5,4,7,CA
1956,Master,Single,"86,424",0,0,387,68,569,89,45,1,6,9,12,SA
1966,Bachelor,Divorced,"67,272",0,1,357,35,271,28,28,3,6,2,12,SP
1957,Bachelor,Single,"78,499",0,0,912,72,170,47,36,1,11,3,4,CA
1972,Bachelor,Together,"77,044",0,1,625,38,242,50,34,2,7,11,11,SP
1975,Master,Together,"17,459",1,0,6,4,16,3,10,3,3,1,2,SP
1970,PhD,Married,"80,336",0,0,209,19,456,160,142,1,2,9,13,SP
1956,Bachelor,Married,"15,759",0,0,1,2,5,6,0,1,1,0,2,SP
1976,Master,Together,"26,326",0,0,1,0,5,0,3,1,0,0,3,GER
1976,Bachelor,Together,"62,061",0,1,641,7,84,0,30,3,10,4,7,SP
1976,Bachelor,Married,"5,305",0,1,12,4,7,1,3,0,1,0,0,IND
1982,Master,Single,"75,777",0,0,712,26,538,69,13,1,3,6,11,AUS
1982,Master,Single,"75,777",0,0,712,26,538,69,13,1,3,6,11,IND
1971,Master,Together,"71,499",0,1,465,25,132,136,0,2,8,3,13,SP
1978,PhD,Single,"31,626",1,0,39,1,9,2,1,1,2,1,2,GER
1992,Master,Together,"42,670",0,0,154,2,46,20,4,1,4,2,4,SA
1973,Bachelor,Single,"83,917",0,0,514,22,732,42,198,1,6,7,7,SP
1969,Master,Together,"41,021",1,0,14,7,9,6,16,2,2,0,3,SA
1956,Bachelor,Married,"79,456",0,0,565,42,548,64,83,1,5,6,4,SP
1980,Master,Divorced,"78,789",0,0,667,50,850,21,83,1,4,6,5,SP
1952,PhD,Married,"50,870",0,1,53,0,8,0,0,1,2,0,3,SP
1983,Master,Married,"35,876",0,0,66,2,40,4,3,1,3,1,3,SP
1957,Bachelor,Married,"23,539",0,0,4,24,11,16,1,1,2,0,4,CA
1967,Master,Single,"32,557",1,0,34,3,29,0,4,3,2,1,3,CA
1970,Master,Married,"62,466",0,1,129,129,259,168,121,5,6,3,12,SP
1970,Master,Married,"62,466",0,1,129,129,259,168,121,5,6,3,12,SP
1966,Bachelor,Married,"54,198",1,1,185,0,28,3,2,6,3,1,6,SP
1978,PhD,Married,"82,170",0,0,1023,93,651,49,55,1,5,6,7,SA
1964,PhD,Single,"61,798",0,0,338,4,89,11,8,1,4,2,9,SP
1992,High School,Single,"15,253",1,0,1,3,3,8,1,2,1,0,3,CA
1988,Master,Married,"78,285",0,0,647,107,391,175,67,1,6,4,10,GER
1955,Bachelor,Single,"62,535",0,1,163,48,90,0,45,1,3,2,8,SP
1973,High School,Together,"27,190",1,0,1,6,7,0,1,1,1,0,2,SP
1968,Master,Married,"48,985",0,1,19,13,18,10,7,1,1,1,3,SP
1970,Bachelor,Married,"72,940",0,0,182,74,298,162,149,1,3,3,6,SA
1985,Master,Married,"36,145",1,0,56,4,76,17,1,4,4,1,3,US
1977,Bachelor,Together,"157,146",0,0,1,0,1725,2,1,0,0,28,0,SA
1960,Master,Married,"81,843",0,0,779,86,537,34,69,1,5,9,12,SP
1988,Bachelor,Together,"41,883",1,0,32,34,41,73,16,3,4,2,3,CA
1964,PhD,Married,"45,759",1,1,42,1,18,3,0,2,2,0,3,IND
1964,PhD,Married,"45,759",1,1,42,1,18,3,0,2,2,0,3,SP
1986,Bachelor,Together,"78,394",0,0,298,27,697,216,24,1,4,6,5,SP
1989,Bachelor,Single,"30,279",1,0,10,4,14,4,4,1,1,0,3,SP
1989,Bachelor,Single,"30,279",1,0,10,4,14,4,4,1,1,0,3,SP
1970,Bachelor,Widow,"31,880",1,0,4,1,5,2,0,1,1,0,2,SP
1973,Bachelor,Widow,"60,208",1,1,488,23,71,15,0,11,8,3,7,SP
1983,Bachelor,Together,"78,687",0,0,817,185,687,145,55,1,4,6,8,SP
1973,PhD,Married,"37,401",1,0,19,3,19,3,1,2,2,0,3,SP
1973,PhD,Married,"37,401",1,0,19,3,19,3,1,2,2,0,3,IND
1954,Bachelor,Together,"75,315",0,1,459,15,171,142,23,2,5,4,12,SA
1965,Bachelor,Single,"69,263",0,1,492,5,32,13,5,1,9,1,7,CA
